### Header (CP-1252 autodetection: “‘quotes’ in quotes”, „größer”, «ŒUF? —DÉÇU…») ###;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
## Enabling decisions & events;;;;;;;;;;;;;;
country-workshop.new-start.name;A New Start in $FROMCOUNTRY$?;;;;;;;;;;;;;
country-workshop.new-start.desc;You have enabled $FROMCOUNTRY$. Choose their fate now.;;;;;;;;;;;;;
country-workshop.new-start.opt0;Their destiny is theirs to make. §B(Limit to cores on the map.)§!;;;;;;;;;;;;;
country-workshop.new-start.opt1;They shall have self-rule. §B(Release them as a vassal country.)§!;;;;;;;;;;;;;
country-workshop.new-start.opt2;They should go free. §B(Release them as an independent country.)§!;;;;;;;;;;;;;
country-workshop.new-start.opt3;They are destined for greatness. §B(Play them as an independent country.)§!;;;;;;;;;;;;;
country-workshop.show_title;Country Workshop: show all features;;;;;;;;;;;;;
country-workshop.show_desc;Display the decisions to enable features added by the Country Workshop.\n\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.hide_title;Country Workshop: hide all decisions;;;;;;;;;;;;;
country-workshop.hide_desc;Hide the decisions to enable features added by the Country Workshop. This is not permanent and you can re-display them at any time during the first month the game.\n\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.enable-everything_title;Country Workshop: enable every feature §Gwithout releasing§!;;;;;;;;;;;;;
country-workshop.enable-everything_desc;Enable every feature added by the Country Workshop at once §Rwithout releasing anything§!. This only adds new cores to the map.\n\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.vassal-everything_title;Country Workshop: release every feature §Gas vassal countries§!;;;;;;;;;;;;;
country-workshop.vassal-everything_desc;Enable every feature added by the Country Workshop at once §Rand release them as vassal countries§!.\n\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.country-everything_title;Country Workshop: release every feature §Gas independent countries§!;;;;;;;;;;;;;
country-workshop.country-everything_desc;Enable every feature added by the Country Workshop at once §Rand release them as independent countries§!.\n\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.start-everything_title;Country Workshop: enable every feature §Gon a case-by-case basis§!;;;;;;;;;;;;;
country-workshop.start-everything_desc;Enable every feature added by the Country Workshop at once. You’ll decide for each one whether they should be limited to their cores, released as vassal countries, released as independent countries, or played by you.\n\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.enable-gotland_title;Country Workshop: §GGotland§!;;;;;;;;;;;;;
country-workshop.enable-gotland_desc;Category: §Rfantasy country§!\nCapital: Gotland\n\nEnable their cores, release them as a vassal country, release them as an independent country, or play them as an independent country.\n\n§YFeatures should only be enabled on the very first day of the game before unpausing, even though the decisions to do so are available throughout the first month of the game.§!;;;;;;;;;;;;;
country-workshop.enable-gotland.name;Country Workshop: $COUNTRY$ has been enabled;;;;;;;;;;;;;
country-workshop.enable-gotland.desc;Today is the day $COUNTRY$ makes its mark.;;;;;;;;;;;;;
country-workshop.enable-gotland.opt0;At last.;;;;;;;;;;;;;
country-workshop.enable-kosakenstadt_title;Country Workshop: §GKosakenstadt§!;;;;;;;;;;;;;
